1 1 1 1 5.09083
2 1 1 1 0.168215
2 1 2 1 0.126302
2 2 1 1 1.41953
2 2 2 1 -0.284232
2 2 2 2 1.47902
3 1 1 1 -5.69816e-17
3 1 2 1 -9.2374e-17
3 1 2 2 2.02963e-16
3 1 3 1 0.0437864
3 2 1 1 -5.4492e-16
3 2 2 1 -4.64039e-17
3 2 2 2 7.25114e-16
3 2 3 1 -0.0894284
3 2 3 2 0.303337
3 3 1 1 1.15296
3 3 2 1 -0.231886
3 3 2 2 1.18181
3 3 3 1 3.20924e-16
3 3 3 2 -6.245e-17
3 3 3 3 1.02044
4 1 1 1 0.119451
4 1 2 1 0.0232708
4 1 2 2 0.00672514
4 1 3 1 -3.18213e-17
4 1 3 2 -7.58942e-17
4 1 3 3 -0.0246653
4 1 4 1 0.0553989
4 2 1 1 -0.0294994
4 2 2 1 0.053626
4 2 2 2 -0.244151
4 2 3 1 -1.48969e-16
4 2 3 2 4.26742e-16
4 2 3 3 -0.146545
4 2 4 1 -0.0476417
4 2 4 2 0.137277
4 3 1 1 4.04407e-17
4 3 2 1 -2.05348e-16
4 3 2 2 8.01442e-16
4 3 3 1 -0.00504365
4 3 3 2 -0.0340484
4 3 3 3 2.74086e-16
4 3 4 1 1.09504e-16
4 3 4 2 -1.99493e-16
4 3 4 3 0.0554175
4 4 1 1 1.09966
4 4 2 1 -0.161847
4 4 2 2 0.860046
4 4 3 1 2.93385e-16
4 4 3 2 -4.19803e-16
4 4 3 3 0.736409
4 4 4 1 -0.0775383
4 4 4 2 -0.0087888
4 4 4 3 -3.1225e-17
4 4 4 4 0.758611
5 1 1 1 -4.8229e-16
5 1 2 1 -1.17156e-16
5 1 2 2 5.87239e-17
5 1 3 1 -3.2108e-17
5 1 3 2 8.0229e-17
5 1 3 3 1.36831e-16
5 1 4 1 2.54698e-17
5 1 4 2 -1.25652e-16
5 1 4 3 -5.67538e-18
5 1 4 4 5.44857e-17
5 1 5 1 0.0577997
5 2 1 1 -2.3515e-16
5 2 2 1 -1.2097e-16
5 2 2 2 5.01198e-16
5 2 3 1 5.50637e-17
